,codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,ocorrencia_tipo,aeronave_operador_categoria,aeronave_tipo_veiculo
1236,52471,INCIDENTE GRAVE,BA,SNCL,2012-02-15,13:20:00,PERDA DE CONTROLE NO SOLO,***,AVIÃO
1237,45487,ACIDENTE,PA,****,2012-02-16,12:30:00,FALHA DO MOTOR EM VOO,***,AVIÃO
1238,45684,INCIDENTE,SP,****,2012-02-17,14:45:00,POUSO EM LOCAL NÃO PREVISTO,TÁXI AÉREO,HELICÓPTERO
1239,45689,INCIDENTE,RJ,****,2012-02-17,23:00:00,TRÁFEGO AÉREO,TÁXI AÉREO,AVIÃO
1240,45689,INCIDENTE,RJ,****,2012-02-17,23:00:00,TRÁFEGO AÉREO,PARTICULAR,AVIÃO
1241,45689,INCIDENTE,RJ,****,2012-02-17,23:00:00,TRÁFEGO AÉREO,PARTICULAR,AVIÃO
1242,45712,INCIDENTE,RJ,****,2012-02-17,12:00:00,FALHA DO MOTOR EM VOO,TÁXI AÉREO,HELICÓPTERO
1243,45713,INCIDENTE,SP,****,2012-02-17,11:30:00,COLISÃO COM OBSTÁCULOS NO SOLO,PARTICULAR,AVIÃO
1244,45584,INCIDENTE GRAVE,SE,SNOD,2012-02-19,15:10:00,POUSO SEM TREM,***,AVIÃO
1245,45598,INCIDENTE GRAVE,SP,SBBP,2012-02-20,14:10:00,PERDA DE CONTROLE NO SOLO,***,AVIÃO
1246,45715,INCIDENTE,AM,SWFN,2012-02-20,09:10:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,TÁXI AÉREO,AVIÃO
1247,45571,ACIDENTE,PA,****,2012-02-22,13:40:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,***,HELICÓPTERO
1248,45710,INCIDENTE,PR,SBCT,2012-02-22,22:45:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,REGULAR,AVIÃO
1249,45714,INCIDENTE,MG,SBBH,2012-02-22,19:35:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PARTICULAR,AVIÃO
1250,45681,INCIDENTE,AM,SBEG,2012-02-23,10:25:00,COLISÃO COM AVE,REGULAR,AVIÃO
1251,45527,ACIDENTE,SC,****,2012-02-24,11:45:00,PERDA DE CONTROLE EM VOO,***,AVIÃO
1252,45569,ACIDENTE,MS,****,2012-02-24,10:30:00,FALHA DO MOTOR EM VOO,***,AVIÃO
1253,45653,INCIDENTE GRAVE,SP,SBGR,2012-02-24,20:04:00,PERDA DE CONTROLE NO SOLO,***,AVIÃO
1254,45490,ACIDENTE,PA,****,2012-02-25,11:47:00,DESORIENTAÇÃO ESPACIAL,***,AVIÃO
1255,45680,INCIDENTE,MG,SBCF,2012-02-25,20:00:00,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,REGULAR,AVIÃO
1256,45709,INCIDENTE,RJ,****,2012-02-26,15:42:00,COLISÃO COM AVE,REGULAR,AVIÃO
1257,45522,ACIDENTE,SC,SSKT,2012-02-27,21:00:00,PERDA DE CONTROLE NO SOLO,***,AVIÃO
1258,45599,INCIDENTE GRAVE,SP,SBBP,2012-02-27,19:15:00,COM TREM DE POUSO,***,AVIÃO
1259,45523,ACIDENTE,AM,****,2012-02-28,21:30:00,FALHA DO MOTOR EM VOO,***,AVIÃO
1260,45573,ACIDENTE,AM,****,2012-02-28,10:15:00,COM COMANDOS DE VOO,***,AVIÃO
1261,45570,ACIDENTE,SC,****,2012-02-29,11:15:00,PERDA DE CONTROLE EM VOO,***,AVIÃO
1262,45727,INCIDENTE,MT,SBBW,2012-01-03,12:50:00,OUTROS,PARTICULAR,AVIÃO
1263,45526,ACIDENTE,PR,****,2012-02-03,12:50:00,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,***,AVIÃO
1264,45589,ACIDENTE,SP,SWXQ,2012-02-03,17:35:00,CORTANTE DE VENTO / TEMPESTADE,***,AVIÃO
1265,45589,ACIDENTE,SP,SWXQ,2012-02-03,17:35:00,PERDA DE CONTROLE EM VOO,***,AVIÃO
1266,45707,INCIDENTE,CE,SBFZ,2012-02-03,22:12:00,ESTOURO DE PNEU,PARTICULAR,AVIÃO
1267,45610,INCIDENTE,SP,****,2012-03-03,13:00:00,COLISÃO COM OBSTÁCULOS NO SOLO,INSTRUÇÃO,AVIÃO
1268,45706,INCIDENTE,AC,SBRB,2012-03-03,17:35:00,COM TREM DE POUSO,PARTICULAR,AVIÃO
1269,45711,INCIDENTE,SP,****,2012-03-03,11:30:00,COLISÃO COM OBSTÁCULOS NO SOLO,PARTICULAR,AVIÃO
